COMUNAS_ZONAS_DESCRIPCION,LATITUD_Y,LONGITUD_X,n
No registra,4.6400353489,-74.064512,6
No registra,4.65301856,-74.054811,5
No registra,4.6660597471,-74.054979,4
No registra,4.6719189784,-74.051717,4
No registra,4.669351662,-74.054625,4
No registra,4.5973908276,-74.072166,4
No registra,4.6537787808,-74.062199,4
No registra,4.6333236022,-74.073262426,4
No registra,4.5991708682,-74.0748074431,3
No registra,4.6068662733,-74.075641,3
No registra,4.6542214145,-74.114096881,3
No registra,4.6062040704,-74.0712232557,3
No registra,4.588976934,-74.082674,3
No registra,4.605893939,-74.0713409815,3
No registra,4.5968893752,-74.0712336931,3
No registra,4.5917345176,-74.0759243302,3
No registra,4.6841067344,-74.0524818234,3
No registra,4.6072570969,-74.072206,3
No registra,4.6046430344,-74.0654934482,3
No registra,4.6485624676,-74.0598182115,3
No registra,4.6486093306,-74.0646796356,3
No registra,4.6776055334,-74.0466813691,3
No registra,4.6003115507,-74.0707079801,3
No registra,4.6037907864,-74.0798587249,3
No registra,4.6036746438,-74.080124871,3
No registra,4.5966042341,-74.0703958914,3
No registra,4.5966577057,-74.073700373,3
No registra,4.6034383475,-74.082265,3
No registra,4.6033190877,-74.0625121937,3
No registra,4.5969363276,-74.0724772856,3
No registra,4.6020867977,-74.0820269022,3
No registra,4.6216869721,-74.0680096779,3
No registra,4.6328052624,-74.0881831946,3
No registra,4.6213207993,-74.0728013816,3
No registra,4.5976228805,-74.0746635569,3
No registra,4.6264488164,-74.0706724299,3
No registra,4.601502233,-74.0690168,3
No registra,4.6188454278,-74.0656406057,3
No registra,4.6009862339,-74.0700930727,3
No registra,4.6178713293,-74.0630180869,3
No registra,4.6017560867,-74.0778403656,3
No registra,4.6326900845,-74.065735,3
No registra,5.4897087462,-73.209678,3
No registra,4.633323602,-74.07326243,3
No registra,4.6018129223,-74.0697199748,3
No registra,4.5639966612,-74.1084350834,3
No registra,4.6107062096,-74.0718486323,3
No registra,4.6020357793,-74.0691533432,3
No registra,4.597552423,-74.0744094286,3
No registra,4.6005692238,-74.0738690051,2
No registra,4.600954288,-74.07024649,2
No registra,4.6681329414,-74.0520098605,2
No registra,4.6730504997,-74.0543804074,2
No registra,4.6688688142,-74.0539934364,2
No registra,4.6009359245,-74.0701537424,2
No registra,4.672159231,-74.05359653,2
No registra,4.6009974729,-74.069897877,2
No registra,4.5990769324,-74.0747357764,2
No registra,4.6005285647,-74.0676993843,2
No registra,4.6757306261,-74.049665,2
No registra,4.5976103842,-74.070871123,2
No registra,4.5977552144,-74.0707787004,2
No registra,4.5977926445,-74.0639658558,2
No registra,4.5978006652,-74.069644126,2
No registra,4.5978738236,-74.076693789,2
No registra,4.5978890921,-74.0756264297,2
No registra,4.598052161,-74.06975952,2
No registra,4.5981058245,-74.0695623902,2
No registra,4.801989695,-74.03718141,2
No registra,4.5981411813,-74.0754599729,2
No registra,4.8007038996,-74.0375354019,2
No registra,4.7507176792,-74.0473746719,2
No registra,4.5982588187,-74.0752507606,2
No registra,4.6976383724,-74.0356739489,2
No registra,4.598793948,-74.07988916,2
No registra,4.5989043949,-74.0746369444,2
No registra,4.6896763882,-74.1312198481,2
No registra,4.6675242063,-74.0547237411,2
No registra,4.6800242898,-74.052837,2
No registra,4.667701715,-74.05156778,2
No registra,4.61305439,-74.056326,2
No registra,4.6013092323,-74.0693643142,2
No registra,4.6014496323,-74.0732931577,2
No registra,4.6059909672,-74.0661640683,2
No registra,4.6420581001,-74.0782658307,2
No registra,4.6412503184,-74.064920756,2
No registra,4.60750499,-74.07963587,2
No registra,4.639859777,-74.06374719,2
No registra,4.63860096,-74.07383642,2
No registra,4.612799457,-74.06662134,2
No registra,4.612995722,-74.10310956,2
No registra,4.613369574,-74.0919587778,2
No registra,4.615444201,-74.06913105,2
No registra,4.6167580103,-74.063099055,2
No registra,4.616879239,-74.06328467,2
No registra,4.6170902657,-74.1028847273,2
No registra,4.631289288,-74.06411079,2
No registra,4.6188061969,-74.0680601679,2
No registra,4.6188461,-74.0660035715,2
No registra,4.628695707,-74.068872283,2
No registra,4.6261694306,-74.0658622113,2
No registra,4.622157186,-74.07463494,2
No registra,4.605412043,-74.0714903531,2
No registra,4.6444796981,-74.0636803422,2
No registra,4.644836282,-74.0850489,2
No registra,4.653844658,-74.114686462,2
No registra,4.601524492,-74.0733709418,2
No registra,4.6586874182,-74.0553471669,2
No registra,4.6585499915,-74.055463,2
No registra,4.6580626448,-74.0530420953,2
No registra,4.6018324831,-74.0718077275,2
No registra,4.601880713,-74.07326785,2
No registra,4.6558864746,-74.11493,2
No registra,4.6022556363,-74.0786286058,2
No registra,4.6030140213,-74.0657767743,2
No registra,4.6048436893,-74.0646148439,2
No registra,4.6524244429,-74.0546846494,2
No registra,4.6033144164,-74.0681339021,2
No registra,4.6035435688,-74.0641421323,2
No registra,4.6509416589,-74.0635800695,2
No registra,4.6493940106,-74.090250764,2
No registra,4.6041448807,-74.0660742143,2
No registra,4.604172609,-74.0808651613,2
No registra,4.645435015,-74.07239798,2
No registra,4.6540906076,-74.1144396988,2
No registra,4.677102557,-74.09087917,2
No registra,4.597022315,-74.06967486,2
No registra,4.5963377598,-74.0703668677,2
No registra,4.59666473,-74.07271532,2
No registra,4.5962896353,-74.07034541,2
No registra,4.5972040002,-74.0772869669,2
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.596988418,-74.06957093,2
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598025767,-74.07283786,2
No registra,4.5961197358,-74.0806385904,2
No registra,4.5963270655,-74.0717723452,2
No registra,4.57573765,-74.11888115,2
No registra,4.597021313,-74.07122658,2
No registra,4.5956591264,-74.0732356039,2
No registra,4.5973216377,-74.0721049391,2
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598830122,-74.07479665,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.59909733,-74.07848697,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599076091,-74.07473228,1
No registra,4.648765244,-74.06335971,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598779715,-74.07064382,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599068461,-74.07518211,1
No registra,4.6503431074,-74.0642492208,1
No registra,4.650923937,-74.0556449196,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598838534,-74.07230142,1
No registra,4.649394011,-74.09025076,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.59910989,-74.06936743,1
No registra,4.6494777531,-74.0591979854,1
No registra,4.649602193,-74.09925846,1
No registra,4.649289884,-74.10644744,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.60181025,-74.07303176,1
No registra,4.64833952,-74.0659392,1
No registra,4.6450860376,-74.100608,1
No registra,4.6441242323,-74.0617812303,1
No registra,4.644132774,-74.06207148,1
No registra,4.644479698,-74.06368034,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599704771,-74.0686268,1
No registra,4.6448362819,-74.0850488981,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599530598,-74.06976307,1
No registra,4.645059923,-74.0751507,1
No registra,4.645269528,-74.07235825,1
No registra,4.647760051,-74.10092137,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599517621,-74.06565491,1
No registra,4.6453756094,-74.0544827514,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599450782,-74.06949315,1
No registra,4.6454350151,-74.0723979808,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599250264,-74.06960312,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598694161,-74.07098714,1
No registra,4.6470676258,-74.066709,1
No registra,4.6458461273,-74.0624381833,1
No registra,4.651161553,-74.06223189,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598640689,-74.07384101,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598125691,-74.07493639,1
No registra,4.653956168,-74.1165258075,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598116278,-74.07485298,1
No registra,4.654090608,-74.1144397,1
No registra,4.654118369,-74.1148979,1
No registra,4.6542175883,-74.1141373561,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598009725,-74.07596532,1
No registra,4.6542728697,-74.1133566241,1
No registra,4.654343073,-74.09014528,1
No registra,4.6546384593,-74.1145454921,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597958537,-74.07466522,1
No registra,4.654766753,-74.1124661,1
No registra,4.6556222561,-74.1148264418,1
